Course,Section,classtype,Title,Dept,Half,AV Requirements,Instructors,Anticipated Enrollment,Respect Room,Respect Time,Days 1,Start Time 1,End Time 1,Room 1,Days 2,Start Time 2,End Time 2,Room 2,Days 3,Start Time 3,End Time 3,Room 3
15.518,B,,Taxes and Business Strategy,Accounting,,,M Hanlon,60,,,"T, Th",2:30 PM,4:00 PM,E51-395,,,,,,,,
15.521,A,,Management Accounting & Control,Accounting,,,S. Keating,50,,,"T, Th",2:30 PM,4:00 PM,E51-395,,,,,,,,
15.521,A,,Management Accounting & Control,Accounting,,,S. Keating,50,,,"T, Th",4:00 PM,5:30 PM,E51-395,,,,,,,,
15.535,A,,Business Analysis Using Financial Stat.,Accounting,,,C. Noe,76,,,"T, Th",1:00 PM,2:30 PM,E51-345,,,,,,,,
15.535,B,,Business Analysis Using Financial Stat.,Accounting,,,C. Noe,76,,,"T, Th",2:30 PM,4:00 PM,E51-345,,,,,,,,
15.565J,,,Digital Evolution,IT,,,S. Madnick,57,,,"T, Th",1:00 PM,2:30 PM,E62-250,,,,,,,,
15.571,,,Business Strategy and the role of IT,IT,,,J. Ross,67,,,"M, W",8:30 AM,10:00 AM,E62-223,,,,,,,,
15.615,,,Basic Business Law for the Entrepreneur and Manager ,Law,,,J. Akula,67,,,"M , W ",8:30 AM,10:00 AM,E51-149,,,,,,,,
15.617,,,"Basic Business Law , Tilted towards Finance",Law,,,J. Akula,67,,,"T , Th",8:30 AM,10:00 AM, E51-149,,,,,,,,
15.618,,,Law and Cutting Edge Tech,Law,,,J. Akula,57,,,M  ,4:00 PM,7:00 PM,E62-250,,,,,,,,
15.655J,,,"Law, Technology and Public Policy",Law,,,"N. Ashford, C Caldart",67,,,"T , Th",4:00 PM,6:00 PM,E51-145,,,,,,,,
15.657J,,,"Sustainability, Trade, and the Environment",Law,,,N. Ashford,50,,,W,7:00 PM,9:00 PM,E51-372,,,,,,,,
15.628J,,,"Patents, Copyrights, and the Law",Law,,,"J. Meldman, S. Bauer",50,y,y,"M, W",3:00 PM,4:30 PM,E25-117,,,,,,,,
15.66,A,,Strategic Human Resource,IWER,,,E. Castilla,57,,,"T, Th",10:00 AM,11:30 AM,E62-250,,,,,,,,
15.66,B,,Strategic Human Resource,IWER,,,E. Castilla,57,,,"T, Th",2:30 PM,4:00 PM,E62-250,,,,,,,,
15.665,A,,Power & Negotiation,IWER,,,D. Loyd,80,,,Th,2:30 PM,5:30 PM,E62-276,,,,,,,,
15.665,A,REC,Power & Negotiation (breakout room),IWER,,,162,50,,,Th,2:30 PM,5:30 PM,E62-221,,,,,,,,
15.665,B,,Power & Negotiation,IWER,,,D. Loyd,80,,,Th,8:30 AM,11:30 AM,E62-276,,,,,,,,
15.665,B,REC,Power & Negotiation (breakout room),IWER,,,164,50,,,Th,8:30 AM,11:30 AM,E62-221,,,,,,,,
15.668,,,People and Organizations,IWER,,,T. Kochan,108,,,"T, Th",2:30 PM,4:00 PM,E62-233,,,,,,,,
15.698,A,,Managing and Leading People and Org,IWER,,,P. Osterman,60,,,"M, W",8:30 AM,10:00 AM,E62-233,,,,,,,,
15.698,B,,Managing and Leading People and Org,IWER,,,P. Osterman,60,,,"M, W",10:00 AM,11:30 AM,E62-233,,,,,,,,
15.S06,,,Managing Sustainable business for Peop ,IWER,,,T. Kochan,60,,,T,4:00 PM,7:00 PM,E51-149,,,,,,,,
15.761,A,,Intro to Operations Mgmt,Operations,,,C. Fine,70,,,"M, W",10:00 AM,11:30 AM,E62-262,,,,,,,,
15.761,A,Rec,Intro to Operations Mgmt,Operations,,,170,70,,,Th,4:00 PM,5:30 PM,E51-395,,,,,,,,
15.761,B,,Intro to Operations Mgmt,Operations,,,TBD1,70,,,"M, W",10:00 AM,11:30 AM,E51-335,,,,,,,,
15.761,B,Rec,Intro to Operations Mgmt (B & C Recitation),Operations,,,C. Fine,70,,,F,12:00 PM,1:30 PM,E51-057,,,,,,,,
15.761,C,,Intro to Operations Mgmt,Operations,,,TBD1,54,,,"T, Th",1:00 PM,2:30 PM,E51-395,,,,,,,,
15.762J, ,,Supply Chain Planning,Operations,H1,,"S. Graves, D. Simchi-Levi",60,,,"M, W",8:30 AM,10:00 AM,E62-223,,,,,,,,
15.762J, ,Rec,Supply Chain Planning,Operations,H1,,Sim1,60,,,F ,8:30 AM,10:00 AM,E62-223,,,,,,,,
15.763J, ,,Manufacturing Systems and Supply Chain,Operations,H2,,"S. Graves, D. Simchi-Levi",60,,,"M, W",8:30 AM,10:00 AM,E62-223,,,,,,,,
15.763J, ,Rec,Manufacturing Systems and Supply Chain,Operations,H2,,Sim2,60,, ,F ,8:30 AM,10:00 AM,E62-223,,,,,,,,
15.769,,,Operations Strategy,Operations,,,C. Fine,80,,y,"M, W",4:00 PM,5:30 PM,E62-233,,,,,,,,
15.771J,,,Case Studies in Logistics,Operations,,,J. Byrnes,30,y,y,"M, W",10:00 AM,11:30 AM,E51-315,,,,,,,,
15.783J,,,Product Design and Development,Operations,,,"S. Eppinger, W. Seering",60,,,"T, Th",1:00 PM,2:30 PM,E62-233,"T, Th",1:00 PM,2:30 PM,E62-262,"T, Th",1:00 PM,2:30 PM,E62-223
15.783J,,REC,Product Design and Development,Operations,,,"S. Eppinger, W. Seering",60,,,"T, Th",1:00 PM,2:30 PM,E62-233,"T, Th",1:00 PM,2:30 PM,E62-262,"T, Th",1:00 PM,2:30 PM,E62-223
15.792,,,Global Operations Leadership Sem,Operations,,,D. Rosenfield,86,,,M ,4:00 PM,6:00 PM,E51-315,,,,,,,,
